id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
3aTzDI7z4jkRsUvart0708,Jot,Live,2GsOZPho6AjGI9OBvvp5y0,['Jupiter Coyote'],['2kbCGRYwdk1GEpBwRD8Z1V'],5,2,False,0.222,0.563,0,-9.154,1,0.0343,0.368,0.967,0.636,0.182,134.874,97053,4.0,1999,1999-12-14
1Ji2m8CjeGHQoe0CjwH9xu,Chess,Transformation,0K6VkEXyOiQGWCm6AOh5v9,['Songs To Your Eyes'],['3ATRZDJb0qbGpJJ0pkYq77'],5,1,False,0.3989999999999999,0.226,8,-15.46,0,0.0331,0.7879999999999999,0.914,0.127,0.0385,118.937,257429,3.0,2020,2020-06-25
3wc3tjY2pYr7csiNnX3b2P,Redeemer (feat. Paul Cardall),Grace: A Sacred Cello Collection,2tTBcYqNu4fYrrPcXUmguM,"['Steven Sharp Nelson', 'Paul Cardall']","['67CqEIMpWuNb6MnpTKjlFv', '7FQRbf8gbKw8KZQZAJWxH2']",8,1,False,0.133,0.136,7,-16.734,1,0.0405,0.909,0.373,0.11,0.0391,73.757,351008,4.0,2014,2014-03-04
6R9nIjpoQwil3dDt73liSb,Now You Know,Blood Sweat and Tears,1YnKdUrDswfMtCWuQ3vKat,['Angels on Acid'],['2S26vLtMLPHbUQvCKvDzwa'],6,1,False,0.5589999999999999,0.917,1,-4.4719999999999995,1,0.108,0.00714,0.114,0.953,0.617,143.011,303840,4.0,2010,2010-07-16
5OVPdchjtH3QEcLAvV9cnt,Relativities,The New Tradition,4Ti6j4xGwgaqz5pv7HAxyL,"['Adam Baldych', 'Yaron Herman']","['6oiyvsyWed0CUGZvOKRXJE', '0YbhcCKyhHD3llGKNtE9UJ']",8,1,False,0.256,0.0813,11,-18.457,0,0.0388,0.973,0.465,0.0854,0.0395,114.024,130724,4.0,2014,2014-05-30
5ibzGJgUhqJId3IMgzhufM,Hobo's Blues,Paul Simon,7npBPiCHjPj8PVIGPuHXep,['Paul Simon'],['2CvCyf1gEVhI0mX6aFXmVI'],9,1,False,0.589,0.504,10,-12.588,1,0.0584,0.6,0.0,0.0797,0.5429999999999999,84.21600000000002,80773,4.0,1972,1972-01-14
6Dw5tJGqyvoTLLs0yueAug,First Orbit,Degrees Of Light,63DiB2oOUAFrdwoh9m4SLX,['Visible Breath'],['4GyQ5oXdYLBr1DvtD794ih'],5,1,False,0.103,0.861,7,-6.4479999999999995,0,0.102,0.481,0.7390000000000001,0.379,0.19,186.632,272040,4.0,2007,2007-05-22
68TJNlBvBIulss5AjpA0Rl,The Infected,Slaves to the Grave,5dlmruPHYNx3athqj7HvJN,['Rigor Mortis'],['363yc6merNkW2PtfVPOOdy'],4,1,False,0.461,0.865,7,-5.499,1,0.0401,1.75e-06,0.4920000000000001,0.16,0.365,140.062,231133,4.0,2014,2014-10-07
7HvewA7bXV3Qv987kI7c73,"Yes, I'm Down",Get Yer Body Next Ta Mine,0uxGgMiyo7fDSOOjT7NdNt,['Coachwhips'],['1ubsCjea2yzGyHQEPol3Y5'],12,1,False,0.29,0.989,9,-3.701,0,0.166,0.00431,0.594,0.336,0.237,168.42,119573,4.0,2003,2003-02-11
2vI8h2VurIbHRpnpb3IgIh,Lo Que Te Queda,Exitos y Novedades,4fAPmsRiFUrouUimjN4HJ0,['Grupo Yndio'],['2ExqFhtOJ3rXrYJkBMqAxD'],13,1,False,0.5660000000000001,0.605,5,-7.138,0,0.0238,0.0923,8.640000000000001e-05,0.321,0.6,96.415,183347,3.0,2014,2014-04-18
7l5CEAhC1VAB3sz3PgFDSF,Out The Window,In The Moment,695hJgKhu7HQmDr9Xx8uEK,['Bradley Sowash'],['3Ous9jWuxZag2awH5TvW6h'],11,1,False,0.272,0.249,5,-15.808,1,0.0338,0.947,0.848,0.104,0.134,76.737,257267,4.0,1999,1999-01-01
3mJQ9wUCoKYP3jjgSMSug0,Melodie,To Russia With Love,3Hepq1rE1HPc6rPbpSXGjH,['Mannheim Steamroller'],['0EeHVtSdrYibpGDVHjWEpe'],3,1,False,0.191,0.0785,10,-20.702,1,0.0389,0.94,0.374,0.0883,0.0785,89.52,98307,4.0,1994,1994
63PgbwqWgSSKvod91EBLxb,Entlaubet ist der Walde (The wood is bare of leaves),Music From The Time Of Tilman Riemenschneider,6dPK9Mf1ebAwHoj4iSdAyy,"['Thomas Stoltzer', 'Il Curioso', 'Bernhard Bohm']","['03SXdGfB7Q0iwP07zxAPmM', '74W7oUtustf2dUcvwe8p1g', '1CTbDkZjsoK6Yn6owUF3VU']",17,1,False,0.1989999999999999,0.00745,0,-34.954,1,0.044,0.995,0.945,0.127,0.136,107.934,104400,3.0,2005,2005-01-02
4Cdb1dE3pfiWlqnAIcImyQ,24/7,Hard To Imagine The Neighbourhood Ever Changing,0ODLCdHBFVvKwJGeSfd1jy,['The Neighbourhood'],['77SW9BnxLY8rJ0RciFqkHh'],3,1,False,0.5870000000000001,0.7440000000000001,7,-4.6110000000000015,0,0.0742,0.00213,0.00181,0.114,0.236,118.962,219973,4.0,2018,2018-11-02
09NvEr1WZbEu8lvtX9IXZB,Yo Soy Para Tí,Orquesta Akokán,71QnNPSX1wsG9ZCUwKOFgE,['Orquesta Akokán'],['0ntVDLb8Ro6BLGVBVOBFVS'],7,1,False,0.589,0.574,0,-5.6579999999999995,1,0.0399,0.84,5.17e-05,0.193,0.8490000000000001,138.593,314240,4.0,2018,2018-03-30
