<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,D,20031009,000000,0.35657,0.36206,0.34831,0.35843,406115905,0
AAPL.US,D,20031010,000000,0.35932,0.36398,0.35749,0.36206,204182102,0
AAPL.US,D,20031013,000000,0.36301,0.37331,0.36267,0.3725,326839951,0
AAPL.US,D,20031014,000000,0.37187,0.37824,0.37,0.37556,321647658,0
AAPL.US,D,20031015,000000,0.38009,0.38252,0.3759,0.37944,714454359,0
AAPL.US,D,20031016,000000,0.36398,0.36426,0.34277,0.35539,1140266316,0
AAPL.US,D,20031017,000000,0.35749,0.35901,0.34277,0.34802,420200331,0
AAPL.US,D,20031020,000000,0.34564,0.35692,0.34215,0.35506,325993258,0
AAPL.US,D,20031021,000000,0.35627,0.35781,0.34802,0.3545,206075950,0
AAPL.US,D,20031022,000000,0.3545,0.35474,0.34677,0.34802,188722114,0
AAPL.US,D,20031023,000000,0.3477,0.35384,0.34535,0.35145,192941451,0
AAPL.US,D,20031024,000000,0.34503,0.34952,0.3401,0.34564,256759615,0
AAPL.US,D,20031027,000000,0.34802,0.35017,0.34368,0.34564,189201292,0
AAPL.US,D,20031028,000000,0.34503,0.36331,0.34246,0.36267,293959270,0
AAPL.US,D,20031029,000000,0.35961,0.36536,0.35692,0.36238,311906637,0
AAPL.US,D,20031030,000000,0.36664,0.367,0.34987,0.35286,303832302,0
AAPL.US,D,20031031,000000,0.35627,0.35716,0.34831,0.35017,254766796,0
AAPL.US,D,20031103,000000,0.34892,0.35627,0.34831,0.35384,353672037,0
AAPL.US,D,20031104,000000,0.35286,0.35316,0.34535,0.35049,291065178,0
AAPL.US,D,20031105,000000,0.34892,0.35348,0.34335,0.35222,376596896,0
AAPL.US,D,20031106,000000,0.35049,0.35384,0.34622,0.35348,463753502,0
AAPL.US,D,20031107,000000,0.35474,0.35539,0.34305,0.34401,245601199,0
AAPL.US,D,20031110,000000,0.34305,0.34622,0.33398,0.33491,273593547,0
AAPL.US,D,20031111,000000,0.33491,0.33662,0.32847,0.32943,251172899,0
AAPL.US,D,20031112,000000,0.32847,0.34742,0.32847,0.34133,350979715,0
AAPL.US,D,20031113,000000,0.34133,0.34503,0.33518,0.34277,248481598,0
AAPL.US,D,20031114,000000,0.34368,0.34564,0.3254,0.32809,276929862,0
AAPL.US,D,20031117,000000,0.32657,0.32687,0.3202,0.32296,266566141,0
AAPL.US,D,20031118,000000,0.32446,0.32629,0.31132,0.31225,313416248,0
AAPL.US,D,20031119,000000,0.31438,0.31551,0.30967,0.31225,402475082,0
AAPL.US,D,20031120,000000,0.30739,0.32237,0.30739,0.31163,279829134,0
AAPL.US,D,20031121,000000,0.31102,0.31466,0.30365,0.31003,283377887,0
AAPL.US,D,20031124,000000,0.31348,0.32505,0.31315,0.32325,445913945,0
AAPL.US,D,20031125,000000,0.32475,0.32475,0.31501,0.31615,317045476,0
AAPL.US,D,20031126,000000,0.31955,0.32325,0.30938,0.31684,286273193,0
AAPL.US,D,20031128,000000,0.31684,0.32237,0.31373,0.31987,88866476,0
AAPL.US,D,20031201,000000,0.32167,0.33425,0.32167,0.33209,422220181,0
AAPL.US,D,20031202,000000,0.33025,0.33491,0.32747,0.32943,256982745,0
AAPL.US,D,20031203,000000,0.32943,0.33398,0.3205,0.32167,224439605,0
AAPL.US,D,20031204,000000,0.32167,0.32388,0.31744,0.32325,207803848,0
AAPL.US,D,20031205,000000,0.31955,0.32325,0.31714,0.31897,217425281,0
AAPL.US,D,20031208,000000,0.31777,0.32237,0.31225,0.32205,173117150,0
AAPL.US,D,20031209,000000,0.32388,0.32475,0.31201,0.31261,157826463,0
AAPL.US,D,20031210,000000,0.31261,0.31501,0.30521,0.31163,316877137,0
AAPL.US,D,20031211,000000,0.30938,0.32629,0.30909,0.32446,214183515,0
AAPL.US,D,20031212,000000,0.32599,0.32599,0.31649,0.31955,225014008,0
AAPL.US,D,20031215,000000,0.32847,0.32847,0.30709,0.30859,454181773,0
AAPL.US,D,20031216,000000,0.30884,0.31315,0.30617,0.30767,436719478,0
AAPL.US,D,20031217,000000,0.30709,0.30767,0.30245,0.30398,320292502,0
AAPL.US,D,20031218,000000,0.3043,0.30859,0.3043,0.30651,386453817,0
AAPL.US,D,20031219,000000,0.30884,0.31225,0.29998,0.30125,529689306,0
AAPL.US,D,20031222,000000,0.30027,0.3043,0.29426,0.30365,440350211,0
AAPL.US,D,20031223,000000,0.30457,0.30492,0.29975,0.30271,360277317,0
