Model,Shift_Type,Intensity,Accuracy,Accuracy_Lower_CI,Accuracy_Upper_CI,F1_Score,F1_Lower_CI,F1_Upper_CI,ROC_AUC,ROC_Lower_CI,ROC_Upper_CI,Brier_Score,Brier_Lower_CI,Brier_Upper_CI,KS_Statistic
Logistic Regression,Prior Probability Shift,1.0,0.9304359348085331,0.9256525771829865,0.9359646217039883,0.9520711282645211,0.9484636777290364,0.9555787168088475,0.9148743149620184,0.8912012365198245,0.9311082576679056,0.05478359808369319,0.05215194661814726,0.057265286768822164,0.011623016661697185
SVM (RBF),Prior Probability Shift,1.0,0.9391811315754605,0.9339870147078309,0.9441798065456473,0.9571122049926933,0.9529812833794182,0.9606411292527618,0.9113696583278809,0.8905031201888066,0.9298923901476781,0.04760250271367235,0.04491724375986734,0.05050831711207546,0.011623016661697185
Decision Tree,Prior Probability Shift,1.0,0.8714721081224328,0.8631177951503909,0.8794289121505233,0.9183123283299387,0.9127023687437064,0.9233360287356771,0.7522813330920329,0.7099426875265685,0.7913975449637004,0.12852789187756725,0.12057108784947661,0.1368822048496091,0.011623016661697185
Random Forest,Prior Probability Shift,1.0,0.9264608453690208,0.9194812508281437,0.9325626076586723,0.9499216614081623,0.9453240412709615,0.9541153267871866,0.906046547779804,0.8813715717412351,0.9301314683157885,0.05691601519367519,0.053578044053560654,0.060356654051278644,0.011623016661697185
Gradient Boosting,Prior Probability Shift,1.0,0.9471313104544852,0.9420961971644362,0.9512587783225123,0.9617816056079567,0.9578135036396176,0.964715278117457,0.9266034877192006,0.9092199002964161,0.9476958299075993,0.045882699361056156,0.04399344406124665,0.0490159787751664,0.011623016661697185
AdaBoost,Prior Probability Shift,1.0,0.9371935868557043,0.9319299059228833,0.9417682522856764,0.9559026319510207,0.9522219843610376,0.9596927186241804,0.9169265286613859,0.8980467141686099,0.9368063452211344,0.1545800567859271,0.15335409767254748,0.15634161837059093,0.011623016661697185
Naive Baseline,Concept-Adjacent Shift,0.1,0.7606715119254785,0.7537593407718293,0.7692726993551029,0.6572732564090966,0.6479260083659284,0.6689538072245519,0.5,0.5,0.5,0.23932848807452145,0.2307273006448971,0.24624065922817073,0.0019244549083836627
Naïve Bayes,Concept-Adjacent Shift,0.1,0.5869587470570171,0.5778508547446003,0.5948510594738459,0.6097398524937968,0.6012700084873991,0.6175801147800964,0.7970440110608704,0.7897541494298548,0.804782507597041,0.40963942842298484,0.402099941217067,0.4189557674367301,0.0019244549083836627
Logistic Regression,Concept-Adjacent Shift,0.1,0.7949636605589109,0.7857252533524415,0.8032065718087829,0.7973604579791905,0.7881341374139488,0.8053956629558868,0.8369252613062127,0.8289877372031763,0.8440520047251193,0.16031349866739772,0.15493694804677396,0.1654097912956505,0.0019244549083836627
SVM (RBF),Concept-Adjacent Shift,0.1,0.8214760978605794,0.8151781144436483,0.829271163885761,0.8199250053971308,0.8136676495769302,0.827295841578827,0.8595218007378748,0.8525878520229893,0.8665957994229542,0.13211159487144278,0.1267201411646818,0.13632274946291062,0.0019244549083836627
Decision Tree,Concept-Adjacent Shift,0.1,0.7574982086191012,0.7472796601494524,0.765126932132255,0.7672396211308767,0.7574165753233725,0.7745733194291816,0.7179191705981889,0.7078282719533499,0.7284953359459791,0.24250179138089875,0.2348730678677449,0.25272033985054765,0.0019244549083836627
Random Forest,Concept-Adjacent Shift,0.1,0.8025386426451019,0.7964402702426042,0.8084911454601289,0.8063747631007322,0.8001708158466732,0.8124381963418129,0.8600489775394708,0.8540974114849589,0.8680669036169659,0.13519993289430285,0.131044655734978,0.13807406765732871,0.0019244549083836627
Gradient Boosting,Concept-Adjacent Shift,0.1,0.8110349063363701,0.8045219572115877,0.8196386528815641,0.8118754704064212,0.8050034767572459,0.8210000749768183,0.8597107071974053,0.8518768984818068,0.868451260166673,0.14418489719210423,0.13868442481110083,0.14924069909535417,0.0019244549083836627
AdaBoost,Concept-Adjacent Shift,0.1,0.8116490940730884,0.8048188146176681,0.8205369024465144,0.8115383625667132,0.804751410177076,0.8198739538139312,0.8633231834963213,0.8559627979750998,0.8701627050878894,0.1817643580164309,0.1801129448006318,0.18339915936260856,0.0019244549083836627
Naive Baseline,Concept-Adjacent Shift,0.25,0.7606715119254785,0.7534471286723309,0.7698894462073907,0.6572732564090966,0.6475046484959491,0.6697929794297588,0.5,0.5,0.5,0.23932848807452145,0.23011055379260928,0.24655287132766915,0.004813087073297944
Naïve Bayes,Concept-Adjacent Shift,0.25,0.5364929880233391,0.527635889036749,0.5475202170130002,0.5541938672725344,0.5453966550149989,0.566142141879369,0.7522200250286668,0.7430850213427516,0.7615358572887335,0.4595872354681497,0.44887038250538486,0.46845455808713865,0.004813087073297944
Logistic Regression,Concept-Adjacent Shift,0.25,0.7132766915753915,0.7049442112805814,0.7233672842665575,0.7301281182545916,0.7212088938722017,0.7395600172597357,0.7551319588172407,0.7452993818460576,0.7669589434543591,0.24413947776875414,0.2348045127116897,0.25121640638444526,0.004813087073297944
